"Time","{action=""end of minor GC"", cause=""G1 Evacuation Pause"", gc=""G1 Young Generation"", instance=""app:8080"", job=""rainmind-app""}"
2026-02-15 22:57:30,7.75 ms
2026-02-15 22:57:45,7.02 ms
2026-02-15 22:58:00,3.85 ms
2026-02-15 22:58:15,3.62 ms
2026-02-15 22:58:30,3.64 ms
2026-02-15 22:58:45,3.47 ms
2026-02-15 22:59:00,3.44 ms
2026-02-15 22:59:15,3.42 ms
2026-02-15 22:59:30,3.20 ms
2026-02-15 22:59:45,3.07 ms
2026-02-15 23:00:00,2.89 ms
2026-02-15 23:00:15,2.95 ms
2026-02-15 23:00:30,2.89 ms
2026-02-15 23:00:45,2.95 ms
2026-02-15 23:01:00,2.98 ms
2026-02-15 23:01:15,3.15 ms
2026-02-15 23:01:30,3.16 ms
2026-02-15 23:01:45,2.75 ms
2026-02-15 23:02:00,1.67 ms
2026-02-15 23:02:15,0.873 ms
2026-02-15 23:02:30,0.164 ms