"Time","sum(jvm_memory_used_bytes{job=""rainmind-app"", area=""heap""}) / 1000 / 1000"
2026-02-15 16:47:30,180 MB
2026-02-15 16:47:45,470 MB
2026-02-15 16:48:00,190 MB
2026-02-15 16:48:15,194 MB
2026-02-15 16:48:30,198 MB
2026-02-15 16:48:45,202 MB
2026-02-15 16:49:00,205 MB
2026-02-15 16:49:15,207 MB
2026-02-15 16:49:30,211 MB
2026-02-15 16:49:45,214 MB
2026-02-15 16:50:00,217 MB
2026-02-15 16:50:15,220 MB
2026-02-15 16:50:30,223 MB
2026-02-15 16:50:45,226 MB
2026-02-15 16:51:00,229 MB
2026-02-15 16:51:15,233 MB
2026-02-15 16:51:30,236 MB
2026-02-15 16:51:45,238 MB
2026-02-15 16:52:00,241 MB
2026-02-15 16:52:15,244 MB
2026-02-15 16:52:30,247 MB
2026-02-15 16:52:45,250 MB
2026-02-15 16:53:00,254 MB
2026-02-15 16:53:15,257 MB
2026-02-15 16:53:30,259 MB
2026-02-15 16:53:45,262 MB
2026-02-15 16:54:00,265 MB
2026-02-15 16:54:15,268 MB
2026-02-15 16:54:30,271 MB
2026-02-15 16:54:45,273 MB
2026-02-15 16:55:00,277 MB
2026-02-15 16:55:15,280 MB
2026-02-15 16:55:30,283 MB
2026-02-15 16:55:45,285 MB
2026-02-15 16:56:00,285 MB
2026-02-15 16:56:15,81.8 MB
2026-02-15 16:56:30,86.0 MB
2026-02-15 16:56:45,89.1 MB
2026-02-15 16:57:00,142 MB
2026-02-15 16:57:15,141 MB
2026-02-15 16:57:30,148 MB
2026-02-15 16:57:45,216 MB
2026-02-15 16:58:00,230 MB
2026-02-15 16:58:15,248 MB
2026-02-15 16:58:30,193 MB
2026-02-15 16:58:45,247 MB
2026-02-15 16:59:00,190 MB
2026-02-15 16:59:15,105 MB
2026-02-15 16:59:30,181 MB
2026-02-15 16:59:45,131 MB
2026-02-15 17:00:00,219 MB
2026-02-15 17:00:15,130 MB
2026-02-15 17:00:30,184 MB
2026-02-15 17:00:45,119 MB
2026-02-15 17:01:00,196 MB
2026-02-15 17:01:15,118 MB
2026-02-15 17:01:30,224 MB
2026-02-15 17:01:45,141 MB
2026-02-15 17:02:00,107 MB
2026-02-15 17:02:15,111 MB
2026-02-15 17:02:30,115 MB