"Time","sum(rate(http_server_requests_seconds_count{job=""rainmind-app"", uri=""/v1/schedules"", method=""POST""}[1m]))"
2026-02-15 16:48:00,97.6
2026-02-15 16:48:15,61.5
2026-02-15 16:48:30,25.1
2026-02-15 16:48:45,0
2026-02-15 16:49:00,0
2026-02-15 16:49:15,0
2026-02-15 16:49:30,0
2026-02-15 16:49:45,0
2026-02-15 16:50:00,0
2026-02-15 16:50:15,0
2026-02-15 16:50:30,0
2026-02-15 16:50:45,0
2026-02-15 16:51:00,0
2026-02-15 16:51:15,0
2026-02-15 16:51:30,0
2026-02-15 16:51:45,0
2026-02-15 16:52:00,0
2026-02-15 16:52:15,0
2026-02-15 16:52:30,0
2026-02-15 16:52:45,0
2026-02-15 16:53:00,0
2026-02-15 16:53:15,0
2026-02-15 16:53:30,0
2026-02-15 16:53:45,0
2026-02-15 16:54:00,0
2026-02-15 16:54:15,0
2026-02-15 16:54:30,0
2026-02-15 16:54:45,0
2026-02-15 16:55:00,0
2026-02-15 16:55:15,0
2026-02-15 16:55:30,0
2026-02-15 16:55:45,0
2026-02-15 16:56:00,0
2026-02-15 16:56:15,0
2026-02-15 16:56:30,0
2026-02-15 16:57:00,32.6
2026-02-15 16:57:15,112
2026-02-15 16:57:30,206
2026-02-15 16:57:45,309
2026-02-15 16:58:00,378
2026-02-15 16:58:15,394
2026-02-15 16:58:30,394
2026-02-15 16:58:45,399
2026-02-15 16:59:00,400
2026-02-15 16:59:15,400
2026-02-15 16:59:30,400
2026-02-15 16:59:45,400
2026-02-15 17:00:00,400
2026-02-15 17:00:15,400
2026-02-15 17:00:30,400
2026-02-15 17:00:45,400
2026-02-15 17:01:00,400
2026-02-15 17:01:15,400
2026-02-15 17:01:30,400
2026-02-15 17:01:45,400
2026-02-15 17:02:00,354
2026-02-15 17:02:15,245
2026-02-15 17:02:30,136
2026-02-15 17:02:45,26.6
2026-02-15 17:03:00,0